NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Esso - Issakainen Ky;Kesälahdentie 1;59800;Kesälahti;Kitee;06.03.1995;Vähittäismyyntilupa/max. 5.5 %;0366334-4
Esso Nokia;Yrittäjäkatu 1;37100;Nokia;Nokia;29.11.1995;Vähittäismyyntilupa/max. 5.5 %;0215637-5
Esson baari / Mynämäen Vesa;Urheilutie 6;23100;Mynämäki;Mynämäki;01.06.2020;Määräaikainen A, kaikki alkoholijuomat;0135361-7
Esther;Esterinportti 2;240;Helsinki;Helsinki;25.08.2020;Anniskelu A, kaikki alkoholijuomat;3122611-7
Estrada;Maaherrankatu 12;50100;Mikkeli;Mikkeli;10.12.2013;Anniskelu A, kaikki alkoholijuomat;2370168-6
Et-Kioski Pauliina Ky;Pohjolankatu 17;80260;Joensuu;Joensuu;09.03.1995;Vähittäismyyntilupa/max. 5.5 %;0547632-3
Etappi 22;Satamakatu 22;26100;Rauma;Rauma;11.06.2018;Anniskelu A, kaikki alkoholijuomat;1896229-1
Eteläisten kioski;Västingintie 1;14770;Eteläinen;Hämeenlinna;30.06.2020;Vähittäismyyntilupa/max 5,5%, määräaikainen;2419312-6
Eteläisten kyläbaari;Västingintie 1;14770;Eteläinen;Hämeenlinna;30.06.2020;Määräaikainen A, kaikki alkoholijuomat;2419312-6
Etelän Kebab House;Hämeenkatu 30;33200;Tampere;Tampere;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2373610-9
Eura Sportcenter;Mäkitie 2;27510;Eura;Eura;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1487027-7
Eurajoen Jäähalli;Kirkkotie 274;27100;Eurajoki;Eurajoki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1567279-0
Eurajoen Keilahalli;Kalliotie 5;27100;Eurajoki;Eurajoki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Eurajoen Pub;Kirkkotie 14;27100;Eurajoki;Eurajoki;11.03.2020;Anniskelu A, kaikki alkoholijuomat;3015687-4
Euran Keilahalli;Eurantie 37;27510;Eura;Eura;07.02.2020;Anniskelu A, kaikki alkoholijuomat;3092704-2
Eurest Ravintola Kampin Huippu;Annankatu 32;100;Helsinki;Helsinki;28.02.2014;Anniskelu A, kaikki alkoholijuomat;1514364-5
Eurest Ravintola Life Science;Keilaranta 12-16;2150;Espoo;Espoo;07.03.2014;Anniskelu A, kaikki alkoholijuomat;1514364-5
Eurohamsteri;Pahkalantie 1;39700;Parkano;Parkano;04.06.1999;Vähittäismyyntilupa/max. 5.5 %;0900185-1
Evakkotaival;Niukkalantie 1465;59720;Uukuniemi;Parikkala;05.06.2019;Anniskelu A, kaikki alkoholijuomat;2992120-9
Evalds Pub;Keskuskatu 46;10300;Karjaa;Raasepori;22.04.2013;Anniskelu A, kaikki alkoholijuomat;2538807-2
Evalds Pub Ruukki;Ruukintie 20;10330;Pinjainen;Raasepori;01.08.2020;Määräaikainen A, kaikki alkoholijuomat;2538807-2
Evalds kiosk;Keskuskatu 46;10300;Karjaa;Raasepori;15.04.2013;Vähittäismyyntilupa/max. 5.5 %;2538807-2
Everest Himal;Kuninkaankatu 19;26100;Rauma;Rauma;05.04.2018;Anniskelu A, kaikki alkoholijuomat;2892734-2
Everest View;Kirkkoherrantie 8;650;Helsinki;Helsinki;25.02.2020;Anniskelu A, kaikki alkoholijuomat;2504778-8
Evijärven Alapään Nuorisoseura;Vasikka-ahontie 22;62540;Vasikka-Aho;Evijärvi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0177803-3
Evijärven Nuorisoseura;Pukkilantie 11;62500;Evijärvi;Evijärvi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0226381-6
Eväskulma;Kauppakatu 52;70110;Kuopio;Kuopio;01.01.2016;Vähittäismyyntilupa/max. 5.5 %;1814641-1
Eväspesti;Keskustie 28;43440;Pylkönmäki;Saarijärvi;01.12.2014;Luovutuspaikka;1505551-4
Evästupa;Keskustie 28;43440;Pylkönmäki;Saarijärvi;30.05.2018;Vähittäismyyntilupa/max. 5.5 %;N/A
Exesso;Keskuskatu 10;39700;Parkano;Parkano;01.04.2015;Vähittäismyyntilupa/max. 5.5 %;N/A
Exit Oulu;Uusikatu 22;90100;Oulu;Oulu;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2685318-3
Expert Food;Juvan Teollisuuskatu 30;2920;Espoo;Espoo;08.02.2018;Vähittäismyyntilupa/max. 5.5 %;2347838-1
Express Shop & Coffee;Kirkkoherrantie 8;650;Helsinki;Helsinki;16.12.2019;Vähittäismyyntilupa/max. 5.5 %;3100363-4
F.P von Knorring;Ångbåtsbryggan, Östra Hamnen;22100;Mariehamn;Maarianhamina;17.04.1990;Anniskelu A, kaikki alkoholijuomat;0839028-5
FAF;Bankgatan 6;66900;Uusikaarlepyy;Uusikaarlepyy;01.03.2017;Anniskelu A, kaikki alkoholijuomat;2802946-2
FAFA´s Jätkäsaari;Välimerenkatu 8;220;Helsinki;Helsinki;25.08.2020;Määräaikainen A, kaikki alkoholijuomat;3094445-9
FAFA´s Kampinkeskus;Urho Kekkosen katu 1 E.26G7;100;Helsinki;Helsinki;15.07.2020;Anniskelu A, kaikki alkoholijuomat;3115844-1
FAFA´s Kamppi;Pohjoinen Rautatiekatu 21;100;Helsinki;Helsinki;16.06.2018;Anniskelu A, kaikki alkoholijuomat;2872899-2
FAFA´s Mikonkatu;Mikonkatu 8;100;Helsinki;Helsinki;12.08.2020;Anniskelu A, kaikki alkoholijuomat;2919743-3
FAFA´s Ooppera;Ruusulankatu 1 C;260;Helsinki;Helsinki;10.02.2020;Anniskelu A, kaikki alkoholijuomat;3007659-1
FC Jazz Pub;Metsämiehenkatu 19;28500;Pori;Pori;13.06.2020;Määräaikainen A, kaikki alkoholijuomat;2650720-5
FC Korsholms Kiosk;Korsholms Centralidrottsplan;65610;Mustasaari;Mustasaari;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1460366-2
FC Lahti, Urheilukeskus;Urheilukeskus;15110;Lahti;Lahti;27.04.2020;Määräaikainen A, kaikki alkoholijuomat;2199726-8
FEMMA BAR & NIGHT CLUB;Kinorinne 6;1600;Vantaa;Vantaa;01.04.2015;Anniskelu A, kaikki alkoholijuomat;2575142-5
FIIKA Café & Interiör;Isokatu 13;68600;Pietarsaari;Pietarsaari;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2815454-6
FL Karolina Cafe;Keskustie 8;7600;Myrskylä;Myrskylä;23.07.2004;Anniskelu A, kaikki alkoholijuomat;N/A
FORMULA CENTER HELSINKI;Yläkivenrinne 1;920;Helsinki;Helsinki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0950831-0
FORTY40;Firdonkatu 2 B LT 4040;520;Helsinki;Helsinki;16.10.2019;Anniskelu A, kaikki alkoholijuomat;2959893-1
FURUMA CUISINE;Katajanokanlaituri 5;160;Helsinki;Helsinki;06.04.2016;Anniskelu A, kaikki alkoholijuomat;2622534-7
Faasai, Thaimaalainen ravintola;Koskikatu 7;33100;Tampere;Tampere;18.07.2007;Anniskelu A, kaikki alkoholijuomat;N/A
Fabric;Itäinenkatu 5-7;33210;Tampere;Tampere;26.06.2019;Anniskelu A, kaikki alkoholijuomat;N/A
Fabrik Cafe´;Itäinen Pitkäkatu 4;20520;Turku;Turku;12.07.2018;Anniskelu A, kaikki alkoholijuomat;1607413-5
Factory Otaniemi;Otakaari 5;2150;Espoo;Espoo;18.09.2018;Anniskelu A, kaikki alkoholijuomat;0953838-4
Faculty Club Biomedicum Helsinki;Hartmaninkatu 8;290;Helsinki;Helsinki;20.04.2001;Anniskelu A, kaikki alkoholijuomat;1567535-0
Fafas;Myllynkatu 1;21280;Raisio;Raisio;01.11.2015;Anniskelu A, kaikki alkoholijuomat;0142122-9
Fafas;Hermannin rantatie 5;580;Helsinki;Helsinki;20.01.2020;Anniskelu A, kaikki alkoholijuomat;3105913-6
Fafas Hertsi;Linnanrakentajantie 2;880;Helsinki;Helsinki;11.03.2020;Anniskelu A, kaikki alkoholijuomat;1837957-3
Fafas Tikkurila;Kielotie 4-6;1300;Vantaa;Vantaa;21.06.2018;Anniskelu A, kaikki alkoholijuomat;2799031-5
Fafas Hietalahti;Hietalahden kauppahalli;180;Helsinki;Helsinki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2530862-6
Fafa´s Pori;Yrjönkatu 14;28100;Pori;Pori;09.12.2019;Anniskelu A, kaikki alkoholijuomat;0137281-8
Fafa´s Tampere Aleksanterinkatu 29;Aleksanterinkatu 29 B;33100;Tampere;Tampere;15.07.2020;Anniskelu A, kaikki alkoholijuomat;3129759-9
Fagerholm;FagerholmKustbevakningsstation;21660;Nauvo;PARAINEN;17.08.2011;Anniskelu A, kaikki alkoholijuomat;2345680-1
Fagersta Bybutik;Fagerstad;7450;Voolahti;Porvoo;15.07.1996;Vähittäismyyntilupa/max. 5.5 %;N/A
Fagervik cafe;Fagervikvägen 1135;10250;Fagervik;Inkoo;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Fairy Tale Bar;Helsinginkatu 7 A;500;Helsinki;Helsinki;01.07.2018;Anniskelu A, kaikki alkoholijuomat;2913434-4
Fannys Pub;Pielisentie 10-12;81700;Lieksa;Lieksa;23.02.2018;Anniskelu A, kaikki alkoholijuomat;2869970-6
Fantasia Pizza & Kebab;Sysmäntie 43;19700;Sysmä;Sysmä;01.07.2020;Anniskelu A, kaikki alkoholijuomat;N/A
Farm to table Helsinki;Franzeninkatu 10 A 16;500;Helsinki;Helsinki;22.11.2019;Määräaikainen A, kaikki alkoholijuomat;N/A
Farmigolf;Vaihmalantie 120;37500;Lempäälä;Lempäälä;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0993438-7
Farmors Cafe;Plats 3;25960;Högsåra;Kemiönsaari;23.06.2020;Ann.lupa sis. vähittäismyynnin;0957132-8
Faro Channelside Bar & Restaurant;Kellosaarenranta 2;180;Helsinki;Helsinki;01.05.2018;Ann.lupa sis. vähittäismyynnin;1715252-9
Farouge;Fabianinkatu 11;140;Helsinki;Helsinki;01.08.2020;Määräaikainen A, kaikki alkoholijuomat;3143123-3
Fasetti Kuppila;Vanha Messiläntie 8;15860;Hollola;Hollola;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1573234-3
Fast Casual Restaurant Taikuri;Suupohjantie 57;60320;Seinäjoki;Seinäjoki;11.11.2019;Määräaikainen A, kaikki alkoholijuomat;3092849-1
Fast Pizzeria;Jyväsentie 1;40500;Jyväskylä;Jyväskylä;01.09.2019;Vähittäismyyntilupa/max. 5.5 %;N/A
Fat Lizard Brewery Shop Otaniemi;Lämpömiehenkuja 3;2150;Espoo;Espoo;07.02.2018;Käsityöläisoluen vähittäismyynti/max 12.0%;2585179-2
Fat Lizard Brewing Taproom;Lämpömiehenkuja 3;2150;Espoo;Espoo;05.06.2020;Anniskelu A, kaikki alkoholijuomat;2585179-2
Fat Ramen;Lönnrotinkatu 34, kauppahalli;180;Helsinki;Helsinki;07.04.2020;Anniskelu A, kaikki alkoholijuomat;3110371-5
Fat Ramen Tapiola;Koivu-Mankkaan tie 1 LT 2;2200;Espoo;Espoo;11.06.2020;Anniskelu A, kaikki alkoholijuomat;3110371-5
Favorit Cafè & Tea;Aleksanterinkatu 6;7900;Loviisa;Loviisa;03.08.2018;Anniskelu A, kaikki alkoholijuomat;2904735-5
Fazer;Kluuvikatu 3;100;Helsinki;Helsinki;01.04.2011;Anniskelu A, kaikki alkoholijuomat;2372155-6
Fazer Cafe Kamppi;Urho Kekkosen katu 1;100;Helsinki;Helsinki;02.04.2020;Anniskelu A, kaikki alkoholijuomat;2372155-6
Fazer Cafe Tripla;Firdonkatu 2 A;520;Helsinki;Helsinki;16.10.2019;Anniskelu A, kaikki alkoholijuomat;2372155-6
Fazer Cafe´ Aurakatu;Aurakatu 10;20100;Turku;Turku;05.10.2015;Anniskelu A, kaikki alkoholijuomat;2372155-6
Fazer Café AINOA;Länsituulentie 7 LT 2.L20;2100;Espoo;Espoo;15.03.2017;Anniskelu A, kaikki alkoholijuomat;2372155-6
Fazer Café City Center;Kaivokatu 8;100;Helsinki;Helsinki;11.10.2011;Anniskelu A, kaikki alkoholijuomat;2372155-6
Fazer Café Forum;Mannerheimintie 20;100;Helsinki;Helsinki;01.04.2011;Anniskelu A, kaikki alkoholijuomat;2372155-6
Fazer Café Hämeenkatu;Hämeenkatu 15;33100;Tampere;Tampere;30.05.2015;Anniskelu A, kaikki alkoholijuomat;2372155-6
Fazer Café Itis;Itäkatu 1-5;930;Helsinki;Helsinki;04.11.2013;Anniskelu A, kaikki alkoholijuomat;2372155-6
Fazer Café Munkkivuori;Raumantie 1;350;Helsinki;Helsinki;01.07.2013;Anniskelu A, kaikki alkoholijuomat;2372155-6
Fazer Café Sanomatalo;Töölönlahdenkatu 2;100;Helsinki;Helsinki;30.05.2017;Anniskelu A, kaikki alkoholijuomat;2372155-6
Fazer Café Tampere;Hämeenkatu 4;33100;Tampere;Tampere;01.04.2011;Anniskelu A, kaikki alkoholijuomat;2372155-6
Fazer Food & Co A Block (kp 3087);Otaniementie 12;2150;Espoo;Espoo;20.08.2018;Anniskelu A, kaikki alkoholijuomat;0873697-9
Fazer Food & Co Yle Luova talo;Radiokatu 1;240;Helsinki;Helsinki;18.12.2017;Anniskelu A, kaikki alkoholijuomat;0873697-9
Fazer Food&Co Cafe Keilalahti;Keilalahdentie 2-4, C-D talo;2150;Espoo;Espoo;15.01.2018;Anniskelu A, kaikki alkoholijuomat;0873697-9
Fazer Henkilökuntamyymälä;Valtakatu 2;53600;Lappeenranta;Lappeenranta;11.04.2018;Vähittäismyyntilupa/max. 5.5 %;0728786-8
Fazer Henkilökuntamyymälä Vantaa;Fazerintie 6;1230;Vantaa;Vantaa;03.04.2018;Vähittäismyyntilupa/max. 5.5 %;0728786-8
Fazer Shop Karkkila;Yrittäjäntie 28;3600;Karkkila;Karkkila;19.04.2018;Vähittäismyyntilupa/max. 5.5 %;0728786-8
Fazer Shop Ranua;Rovaniementie 29;97700;Ranua;Ranua;25.04.2018;Vähittäismyyntilupa/max. 5.5 %;0728786-8
Feeniks;Torikatu 40;67100;Kokkola;Kokkola;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Feeniks;Rautatienkatu 17;30100;Forssa;Forssa;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2395983-9
Fei Hong Ravintola;Valtakatu 53-55;45700;Kuusankoski;Kouvola;07.10.2015;Anniskelu A, kaikki alkoholijuomat;N/A
Fellmanni;Koivulanmäentie 2;7970;Ruotsinpyhtää;Loviisa;20.02.2015;Anniskelu A, kaikki alkoholijuomat;2157958-4
Fellmanninpuiston kioski;Kyösti Kallion katu 2;15110;Lahti;Lahti;07.01.2019;Vähittäismyyntilupa/max. 5.5 %;N/A
Feltbay;Mannerheimintie 160;300;Helsinki;Helsinki;10.06.2010;Anniskelu A, kaikki alkoholijuomat;2330085-8
Fem knivar;Sommarönranta 44;10600;Tammisaari;Raasepori;10.02.2017;Anniskelu A, kaikki alkoholijuomat;1039827-8
Femma IV;Viides linja 4;530;Helsinki;Helsinki;01.11.2016;Anniskelu A, kaikki alkoholijuomat;2772876-3
Fener´s Kebab-Pizza;Kauppakatu 16;8100;Lohja;Lohja;13.11.2018;Anniskelu A, kaikki alkoholijuomat;1944597-4
Fera;Urheilukatu 23;26100;Rauma;Rauma;01.06.2020;Määräaikainen A, kaikki alkoholijuomat;0798376-7
Feri´s Sausages;Pursimiehenkatu 2;150;Helsinki;Helsinki;22.08.2017;Vähittäismyyntilupa/max. 5.5 %;2536805-5
Fernando;Maaherrankatu 17;50100;Mikkeli;Mikkeli;07.07.1982;Anniskelu A, kaikki alkoholijuomat;0922792-2
Festa Cucina;Ohkolantie 8;4500;Kellokoski;Mäntsälä;01.06.2020;Anniskelu A, kaikki alkoholijuomat;2838504-5
Fias Hembränt;Maansfolkvägen 27;68820;Ähtävä;Pedersöre;11.05.2000;Anniskelu A, kaikki alkoholijuomat;1573732-0
Fiesta;Kontulankaari 1 B 20;940;Helsinki;Helsinki;27.02.2015;Anniskelu A, kaikki alkoholijuomat;2658667-9
Fiesta Seinäjoki;Kalevankatu 16 liiketila 1;60100;Seinäjoki;Seinäjoki;01.06.2020;Anniskelu A, kaikki alkoholijuomat;3116947-4
Fifth Avenue;Sibeliuksenkatu 2;13100;Hämeenlinna;Hämeenlinna;01.10.2017;Anniskelu A, kaikki alkoholijuomat;2706633-3
Figaro Restaurant & Winebistro;Asemakatu 2-4;40100;Jyväskylä;Jyväskylä;01.05.2018;Anniskelu A, kaikki alkoholijuomat;2909279-7
Fiilis;Kiinamyllynkatu 5;20500;Turku;Turku;06.06.2017;Anniskelu A, kaikki alkoholijuomat;2795692-6
FiilisMarket;Ojanpolventie 7;31640;Humppila;Humppila;10.10.2014;Vähittäismyyntilupa/max. 5.5 %;0663436-2
Fiilu;Piippukatu 11;40100;Jyväskylä;Jyväskylä;10.12.2018;Anniskelu A, kaikki alkoholijuomat;0873697-9
Fiksaatio Oy;Vuorenmaanrinne 12 A11;60220;Seinäjoki;Seinäjoki;17.11.2018;Anniskelulupa ilman toimipaikkaa;2938489-6
Filmhuset Bio Savoy-Filmcafé;Nygatan 14;22100;Mariehamn;Maarianhamina;11.07.2012;Anniskelu B, miedot alkoholijuomat/max 22%;N/A
Finlandia Caviar;Eteläesplanadi 2;130;Helsinki;Helsinki;18.06.2017;Anniskelu A, kaikki alkoholijuomat;2744502-6
Finlandia Hotelli Seurahuone;Torikatu 24;67100;Kokkola;Kokkola;01.01.1960;Anniskelu A, kaikki alkoholijuomat;1046809-6
Finlandia Park Hotel;Pohjolankatu 38;610;Helsinki;Helsinki;01.01.2019;Ann.lupa sis. vähittäismyynnin;1799851-6
Finlandia Sahti;Palomäentie 342;38510;Sastamala;Sastamala;20.02.2018;Käsityöläisoluen vähittäismyynti/max 12.0%;0894365-2
Finlandia-ravintola;Mannerheimintie 13;100;Helsinki;Helsinki;03.08.2020;Anniskelu A, kaikki alkoholijuomat;2036668-3
Finnair Oyj:n kotimaan lennot;HDV/82, PL 41;1053;Finnair;Vantaa;01.06.2005;Anniskelu A, kaikki alkoholijuomat;1633153-3
Finnair Oyj:n ulkomaan lennot;HDV/82PL 41;1053;Finnair;Vantaa;12.09.2006;Kans. väl. lentokone;1633153-3
Finnbingo;Eerikinkatu 20 b;20100;Turku;Turku;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0142376-9
Finnjävel Taidehalli;Ainonkatu 3;100;Helsinki;Helsinki;07.10.2019;Anniskelu A, kaikki alkoholijuomat;3000664-9
Finnkino City Atlas;Hatanpään valtatie 1;33100;Tampere;Tampere;01.09.2018;Anniskelu A, kaikki alkoholijuomat;0647239-1
Finnkino Fantasia;Kauppakatu 29-31;40100;Jyväskylä;Jyväskylä;05.09.2018;Anniskelu A, kaikki alkoholijuomat;0647239-1
Finnkino Flamingo;Tasetie 8;1510;Vantaa;Vantaa;14.09.2010;Anniskelu A, kaikki alkoholijuomat;0647239-1
Finnkino ITIS;Itäkatu 3;930;Helsinki;Helsinki;23.11.2018;Anniskelu A, kaikki alkoholijuomat;0647239-1
Finnkino Kinopalatsi;Kaisaniemenkatu 2;100;Helsinki;Helsinki;23.05.2018;Anniskelu A, kaikki alkoholijuomat;0647239-1
Finnkino Kuvapalatsi;Vapaudenkatu 13;15110;Lahti;Lahti;01.10.2010;Anniskelu A, kaikki alkoholijuomat;0647239-1
Finnkino Maxim;Kluuvikatu 1;100;Helsinki;Helsinki;08.01.2018;Anniskelu A, kaikki alkoholijuomat;0647239-1
Finnkino Omena;Piispansilta 11;2230;Espoo;Espoo;18.05.2018;Anniskelu A, kaikki alkoholijuomat;0647239-1
Finnkino Plaza;Torikatu 32;90100;Oulu;Oulu;01.07.2018;Anniskelu A, kaikki alkoholijuomat;0647239-1
Finnkino Plevna;Itäinenkatu 4;33210;Tampere;Tampere;29.06.2018;Anniskelu A, kaikki alkoholijuomat;0647239-1
Finnkino Promenadi;Yrjönkatu 17;28100;Pori;Pori;26.09.2018;Anniskelu A, kaikki alkoholijuomat;0647239-1
Finnkino Scala;Ajurinkatu 16;70110;Kuopio;Kuopio;01.07.2018;Anniskelu A, kaikki alkoholijuomat;0647239-1
Finnkino Sello;Ratsukatu 3;2600;Espoo;Espoo;05.06.2018;Anniskelu A, kaikki alkoholijuomat;0647239-1
Finnkino Strand;Brahenkatu 5 B;53100;Lappeenranta;Lappeenranta;29.09.2015;Anniskelu A, kaikki alkoholijuomat;0647239-1
Finnkino Tennispalatsi;Salomonkatu 15;100;Helsinki;Helsinki;23.05.2018;Anniskelu A, kaikki alkoholijuomat;0647239-1
Finnresta;Ilmailunkatu 20;33900;Tampere;Tampere;01.07.2011;Anniskelu A, kaikki alkoholijuomat;2389639-9
Finns Bar & Cafe;Läkkisepänkuja 3;2650;Espoo;Espoo;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Firat Pizzeria Kebab;Keskitie 1;44500;Viitasaari;Viitasaari;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Fish & Grill cafe;Kaislantie 1-6;19430;Pertunmaa;Pertunmaa;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2471234-4
Fiskars Wärdshus;Antskogintie 14;10470;Fiskari;Raasepori;02.09.2016;Anniskelu A, kaikki alkoholijuomat;2773674-7
Fiskarsin Panimon Puoti;Peltorivi 7;10470;Fiskari;Raasepori;05.06.2018;Käsityöläisoluen vähittäismyynti/max 12.0%;2437825-1
Fiskarsin panimon terassi;Peltorivi 7;10470;Fiskari;Raasepori;24.05.2018;Anniskelu A, kaikki alkoholijuomat;2437825-1
Fiskarsin torikahvila;Fiskarsin tori;10470;Fiskari;Raasepori;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Fiskbods Cafe;Aspövägen 10;21670;Pärnäinen;PARAINEN;01.06.2017;Vähittäismyyntilupa/max. 5.5 %;N/A
Fiskdisken;Köpingsvägen 11;66100;Maalahti;Maalahti;12.07.2019;Ann.lupa sis. vähittäismyynnin;2856706-8
Fisken på Disken;Urho Kekkosen katu 1 LT 5.32.G;100;Helsinki;Helsinki;01.12.2016;Anniskelu A, kaikki alkoholijuomat;0910495-7
Fit Tampella;Juhlatalonkatu 5;33100;Tampere;Tampere;01.09.2020;Anniskelu A, kaikki alkoholijuomat;3140312-8
Flamingo Erotic Club;Antinkatu 13;28100;Pori;Pori;01.12.2014;Anniskelu A, kaikki alkoholijuomat;2633205-4
Flavour Palace;Saaristonkatu 5;90100;Oulu;Oulu;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2837746-7
Flavour Palace (Haukipudas);Jokelantie 1 L 7;90830;Haukipudas;Oulu;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2479614-6
Flavour Palace Kiinalainen;Terveystie 2 L 8;90900;Kiiminki;Oulu;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1860792-7
Flavour Studio;Työpajankatu 2 R1 E;580;Helsinki;Helsinki;20.06.2019;Ann.lupa sis. vähittäismyynnin;2128041-9
Flavourium;Fredrikanterassi 1;520;Helsinki;Helsinki;11.11.2019;Ann.lupa sis. vähittäismyynnin;2128041-9
Flemari 13;Fleminginkatu 13;500;Helsinki;Helsinki;01.10.2019;Määräaikainen A, kaikki alkoholijuomat;2774460-8
Floria ravintola;August Eklöfintie 3;6750;Tolkkinen;Porvoo;06.07.2020;Anniskelu A, kaikki alkoholijuomat;N/A
Flybe Finland Oy/ Ulkomaan liikenne;Helsinki-Vantaan lentoasema;1530;Vantaa;Vantaa;01.09.2011;Kans. väl. lentokone;0955641-9
Flying Cinema Cafe;Katajanokanlaituri 2;160;Helsinki;Helsinki;26.05.2020;Määräaikainen A, kaikki alkoholijuomat;2736745-1
Flät no 14;Viides linja 14 A 1;530;Helsinki;Helsinki;14.05.2020;Ann.lupa sis. vähittäismyynnin;2994675-6
Folkhälsans hus/SP-punkten;Niklasvägen 1;65610;Mustasaari;Mustasaari;23.07.2019;Anniskelu A, kaikki alkoholijuomat;1801682-8
Fonda del Sol;Vantaanportinkatu 7 / Jumbo;1510;Vantaa;Vantaa;26.10.2005;Anniskelu A, kaikki alkoholijuomat;0707326-1
Fondis Golf restaurant;Golfkentäntie 61;65370;Vaasa;Vaasa;24.05.2019;Ann.lupa sis. vähittäismyynnin;0494346-0
Fontana Afro Night Club;Keinulaudankuja 4;940;Helsinki;Helsinki;14.01.2020;Anniskelu A, kaikki alkoholijuomat;N/A
Food Club;Mosaiikkitori;980;Helsinki;Helsinki;11.07.2020;Anniskelu A, kaikki alkoholijuomat;N/A
Food Fellows;Parkvägen 5;21660;Nauvo;PARAINEN;06.05.2019;Anniskelu A, kaikki alkoholijuomat;2903186-3
Food Market Herkku;Aleksanterinkatu 52;100;Helsinki;Helsinki;01.01.2018;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Food Market Herkku Bistro;Hämeenkatu 4;33100;Tampere;Tampere;01.08.2019;Anniskelu A, kaikki alkoholijuomat;0536307-0
Food Market Herkku Itäkeskus;Itäkatu 1-5 C 124;930;Helsinki;Helsinki;01.01.2018;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Food Market Herkku Tapiola;Länsituulentie 7;2100;Espoo;Espoo;01.01.2018;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Food market Redi;Kyläsaarenkatu 25;580;Helsinki;Helsinki;19.09.2018;Anniskelu A, kaikki alkoholijuomat;2708212-2
Food n Joy;Norra Esplanadgatan 2;22100;Mariehamn;Maarianhamina;17.08.2020;Anniskelu A, kaikki alkoholijuomat;2160022-4
FoodFlix;Haapaniementie 2;65370;Vaasa;Vaasa;20.05.2020;Ann.lupa sis. vähittäismyynnin;N/A
Foodmarket Herkku;Hämeenkatu 4;33100;Tampere;Tampere;01.01.2018;Vähittäismyyntilupa/max. 5.5 %;0536307-0
Foodpark ideapark;Ideaparkinkatu 4;37550;Lempäälä;Lempäälä;13.01.2014;Anniskelu A, kaikki alkoholijuomat;1952494-7
For You;Kotkankatu 8;48100;Kotka;Kotka;01.06.2007;Anniskelu A, kaikki alkoholijuomat;2102872-3
For You;Kotkankatu 8;48100;Kotka;Kotka;17.06.2020;Ann.lupa sis. vähittäismyynnin;2102872-3
Forever Lappeenranta;Pelitie 36;53810;Lappeenranta;Lappeenranta;28.01.2020;Anniskelu A, kaikki alkoholijuomat;1965618-1
Forsby på Toppen;Bondevägen;68920;Forsby;Pedersöre;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0219185-9
Forskullan Kartano;Forskulla;18150;Heinola;Heinola;22.05.1996;Anniskelu A, kaikki alkoholijuomat;0806270-8
Forssan Jäähallin Pub;Urheilukentänkatu 6;30100;Forssa;Forssa;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2705516-7
Fortuna Bianco;Otavalankatu 9;33100;Tampere;Tampere;16.04.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Fox Mamselli Ravintola Vimpeli;Opintie 3;87100;Kajaani;Kajaani;15.11.2011;Anniskelu A, kaikki alkoholijuomat;0214958-9
Foxshed;Sibeliuksenkatu 25;4400;Järvenpää;Järvenpää;27.11.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Frankly;Hallituskatu 22;33200;Tampere;Tampere;01.06.2020;Anniskelu A, kaikki alkoholijuomat;3132829-5
Frantsilan Kehäkukka;Yrjö-Koskisentie 1;39100;Hämeenkyrö;Hämeenkyrö;01.03.2018;Anniskelu A, kaikki alkoholijuomat;1053172-9
